condition,symptoms,causes,warnings,recommendations
Anemia,"Persistent tiredness with weakness, pale complexion, and rapid heartbeat., loss of appetite","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Influenza,"sore throat, muscle aches, headache, fever, chills, runny nose",immune response,persistent high fever requires medical attention,seek medical advice if symptoms persist
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., runny nose",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Influenza,"chills, sore throat, fatigue, headache, mild headache","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., chills",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., body aches","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
COVID-19,"dry cough, fatigue, fever, breathing difficulty, muscle weakness",viral infection,symptoms worsening rapidly should be evaluated by a doctor,take prescribed medication
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., dizziness",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Migraine,"pulsating pain, vomiting, severe headache, chills","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
COVID-19,"dry cough, fever, loss of smell, dry throat",viral infection,persistent high fever requires medical attention,rest and stay hydrated
Common Cold,"sore throat, mild fatigue, nasal congestion, mild cough, runny nose, nausea","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., muscle weakness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Bronchitis,"shortness of breath, chest discomfort, fatigue, dry throat","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Migraine,"vomiting, pulsating pain, sensitivity to light, nausea, severe headache, difficulty sleeping","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Pneumonia,"chest pain, difficulty breathing, productive cough, dizziness",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Migraine,"sensitivity to light, nausea, vomiting, pulsating pain, dry throat","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., blurred vision",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Tuberculosis,"Long‑lasting cough with chest pain, fatigue, fever, and coughing up blood., sweating","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., body aches",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., chills",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Depression,"Patient reports persistent sadness, loss of interest in activities, fatigue, and sleep problems., body aches",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., dizziness",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
COVID-19,"loss of smell, dry cough, loss of taste, fatigue, sweating","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., muscle weakness",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Pneumonia,"chest pain, fatigue, difficulty breathing, productive cough, fever, loss of appetite","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Pneumonia,"difficulty breathing, fever, productive cough, chest pain, chills",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., dry throat",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
COVID-19,"breathing difficulty, loss of smell, dry cough, loss of appetite",bacterial infection,severe chest pain requires emergency care,seek medical advice if symptoms persist
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., blurred vision","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Migraine,"sensitivity to light, vomiting, severe headache, pulsating pain, loss of appetite","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Tuberculosis,"Chronic cough accompanied by night sweats, fever, and loss of appetite., mild headache","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Migraine,"vomiting, severe headache, pulsating pain, nausea, sensitivity to light, sweating","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Bronchitis,"shortness of breath, chest discomfort, fatigue, dry throat","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., fatigue",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., chills","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Hypertension,"Patient reports chest discomfort, headache, and feeling of pressure in the head., body aches","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Migraine,"pulsating pain, nausea, sensitivity to light, vomiting, nausea",viral infection,persistent high fever requires medical attention,monitor symptoms carefully
Migraine,"vomiting, pulsating pain, severe headache, body aches","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Common Cold,"sneezing, mild fatigue, nasal congestion, sore throat, difficulty sleeping",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Common Cold,"sneezing, mild fatigue, nasal congestion, sore throat, fatigue","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., muscle weakness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., difficulty sleeping","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., chills","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Common Cold,"nasal congestion, runny nose, mild fatigue, mild cough, sore throat, chills",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Hypertension,"Patient reports chest discomfort, headache, and feeling of pressure in the head., muscle weakness","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Sinusitis,"Severe sinus pressure with headache, congestion, and reduced sense of smell., blurred vision","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Depression,"Patient reports persistent sadness, loss of interest in activities, fatigue, and sleep problems., loss of appetite",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Influenza,"fever, chills, dry cough, muscle aches, irritability","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
COVID-19,"fever, loss of smell, loss of taste, fatigue, dry throat",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Pneumonia,"fatigue, chest pain, difficulty breathing, loss of appetite",genetic and environmental factors,persistent high fever requires medical attention,seek medical advice if symptoms persist
Pneumonia,"difficulty breathing, fever, chest pain, fatigue, productive cough, mild headache",inflammation of airways,severe chest pain requires emergency care,consult a healthcare professional
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., muscle weakness",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Influenza,"fatigue, dry cough, headache, mild headache","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., muscle weakness",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Hypertension,"Persistent high blood pressure with headaches, fatigue, and occasional nosebleeds., loss of appetite","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., sweating","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Asthma,"coughing at night, breathing difficulty, wheezing, shortness of breath, chest tightness, sweating",bacterial infection,severe chest pain requires emergency care,take prescribed medication
Diabetes,"blurred vision, fatigue, slow healing wounds, dizziness",inflammation of airways,severe chest pain requires emergency care,consult a healthcare professional
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., dry throat","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., dizziness","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., sweating","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Asthma,"coughing at night, wheezing, shortness of breath, breathing difficulty, chest tightness, fatigue",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Diabetes,"increased thirst, blurred vision, slow healing wounds, fatigue, muscle weakness","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Anemia,"Patient experiences fatigue, pale skin, shortness of breath, and dizziness., muscle weakness",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Migraine,"nausea, pulsating pain, vomiting, severe headache, loss of appetite","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., muscle weakness","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., difficulty sleeping","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
COVID-19,"fever, loss of smell, loss of taste, fatigue, irritability","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Bronchitis,"persistent cough, chest discomfort, fatigue, shortness of breath, chills",immune response,seek medical help if breathing becomes difficult,monitor symptoms carefully
Bronchitis,"persistent cough, shortness of breath, mucus production, fatigue, chest discomfort, mild headache",viral infection,symptoms worsening rapidly should be evaluated by a doctor,rest and stay hydrated
Pneumonia,"difficulty breathing, fever, chest pain, fatigue, productive cough, mild headache",inflammation of airways,severe chest pain requires emergency care,consult a healthcare professional
Gastroenteritis,"Patient has diarrhea, abdominal cramps, nausea, vomiting, and mild fever., dry throat","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Anemia,"Persistent tiredness with weakness, pale complexion, and rapid heartbeat., sweating","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Sinusitis,"Pressure around the eyes with headache, blocked nose, and fatigue., loss of appetite","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., mild headache",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., blurred vision",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., dry throat","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Common Cold,"sore throat, mild fatigue, nasal congestion, mild cough, runny nose, difficulty sleeping","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., chills","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Diabetes,"increased thirst, blurred vision, fatigue, frequent urination, body aches","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., chills",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., mild headache",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Pneumonia,"difficulty breathing, chest pain, fever, runny nose","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Influenza,"fever, fatigue, dry cough, muscle aches, fatigue","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Anemia,"Patient experiences fatigue, pale skin, shortness of breath, and dizziness., blurred vision","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Diabetes,"increased thirst, fatigue, frequent urination, slow healing wounds, blurred vision, difficulty sleeping",viral infection,seek medical help if breathing becomes difficult,rest and stay hydrated
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., mild headache",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Common Cold,"runny nose, sore throat, mild fatigue, nasal congestion, mild cough, dry throat","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Influenza,"fever, muscle aches, chills, dry cough, sore throat, loss of appetite",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Hypertension,"Persistent high blood pressure with headaches, fatigue, and occasional nosebleeds., irritability",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., chills","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Diabetes,"blurred vision, fatigue, frequent urination, increased thirst, slow healing wounds, dizziness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., mild headache","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Migraine,"nausea, sensitivity to light, pulsating pain, severe headache, chills",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
COVID-19,"loss of taste, loss of smell, fatigue, dry cough, fever, nausea",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Diabetes,"slow healing wounds, frequent urination, blurred vision, fatigue, increased thirst, fatigue",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., chills","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., loss of appetite",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Sinusitis,"Pressure around the eyes with headache, blocked nose, and fatigue., chills","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., sweating",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Migraine,"nausea, sensitivity to light, pulsating pain, severe headache, sweating",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Pneumonia,"fatigue, difficulty breathing, productive cough, fever, chest pain, dry throat","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., runny nose","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Asthma,"shortness of breath, breathing difficulty, chest tightness, wheezing, chills",inflammation of airways,seek medical help if breathing becomes difficult,rest and stay hydrated
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., chills","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
COVID-19,"fever, loss of smell, loss of taste, fatigue, dizziness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
COVID-19,"dry cough, fever, loss of smell, fatigue","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., chills","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
COVID-19,"fatigue, breathing difficulty, fever, loss of taste, dry cough, chills",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Hypertension,"The patient experiences frequent headaches, dizziness, and blurred vision especially during stress., blurred vision","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
COVID-19,"breathing difficulty, loss of smell, dry cough, mild headache",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Tuberculosis,"Patient has a persistent cough for weeks with weight loss, night sweats, and mild fever., blurred vision","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Tuberculosis,"Chronic cough accompanied by night sweats, fever, and loss of appetite., dizziness","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Diabetes,"fatigue, slow healing wounds, frequent urination, increased thirst, muscle weakness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., mild headache",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Depression,"Patient reports persistent sadness, loss of interest in activities, fatigue, and sleep problems., mild headache","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Influenza,"fever, chills, dry cough, headache, body aches",bacterial infection,symptoms worsening rapidly should be evaluated by a doctor,take prescribed medication
Diabetes,"blurred vision, fatigue, slow healing wounds, nausea","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Bronchitis,"persistent cough, chest discomfort, fatigue, shortness of breath, sweating",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
COVID-19,"loss of taste, dry cough, fatigue, breathing difficulty, body aches",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., runny nose",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Sinusitis,"Pressure around the eyes with headache, blocked nose, and fatigue., dry throat","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Depression,"Patient reports persistent sadness, loss of interest in activities, fatigue, and sleep problems., body aches",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Tuberculosis,"Patient has a persistent cough for weeks with weight loss, night sweats, and mild fever., sweating",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., dry throat","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Diabetes,"slow healing wounds, blurred vision, increased thirst, dizziness",immune response,persistent high fever requires medical attention,take prescribed medication
Bronchitis,"fatigue, chest discomfort, mucus production, shortness of breath, nausea",bacterial infection,seek medical help if breathing becomes difficult,seek medical advice if symptoms persist
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., muscle weakness","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Arthritis,"Morning joint stiffness with swelling, pain, and reduced mobility., body aches","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., loss of appetite","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., dizziness",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Diabetes,"frequent urination, fatigue, blurred vision, increased thirst, slow healing wounds, chills","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Migraine,"sensitivity to light, pulsating pain, severe headache, dry throat",bacterial infection,severe chest pain requires emergency care,monitor symptoms carefully
Influenza,"chills, dry cough, fatigue, fever, irritability","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Tuberculosis,"Patient has a persistent cough for weeks with weight loss, night sweats, and mild fever., body aches","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Asthma,"coughing at night, chest tightness, shortness of breath, breathing difficulty, wheezing, runny nose",inflammation of airways,seek medical help if breathing becomes difficult,take prescribed medication
Diabetes,"frequent urination, increased thirst, slow healing wounds, blurred vision, fatigue, blurred vision",inflammation of airways,persistent high fever requires medical attention,consult a healthcare professional
Anemia,"Persistent tiredness with weakness, pale complexion, and rapid heartbeat., loss of appetite",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Dengue,"Severe body aches with fever, nausea, headache, and mild bleeding symptoms., dizziness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Migraine,"vomiting, pulsating pain, severe headache, dizziness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., runny nose",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Migraine,"vomiting, pulsating pain, severe headache, fatigue","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Tuberculosis,"Patient has a persistent cough for weeks with weight loss, night sweats, and mild fever., mild headache","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Asthma,"chest tightness, breathing difficulty, shortness of breath, blurred vision",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Malaria,"High fever with shaking chills followed by sweating and extreme fatigue., muscle weakness","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., chills",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Depression,"Feelings of hopelessness with low energy, difficulty concentrating, and appetite changes., muscle weakness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Asthma,"coughing at night, chest tightness, breathing difficulty, sweating","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., difficulty sleeping","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., fatigue","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Depression,"Patient reports persistent sadness, loss of interest in activities, fatigue, and sleep problems., fatigue","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
COVID-19,"loss of smell, fatigue, dry cough, loss of taste, fatigue","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., sweating",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
